Video Id,Video Title,Doc Name
2qqc_Mx3zuI,American Kids Try Filipino Snacks | First Time REACTION (Universal Yums Unboxing Taste Test 2020),155
2sZQWjSUx74,FOREIGNER reacts to Latinos Try FILIPINO FOOD with Jo Koy,156
2sZh5FtJRb8,Korean guys try&review Snacks from Philippines | ASMR | Mukbang | eating show (ENG SUB),157
2sb7GzhpLBQ,PAYAG BA KAYO? JUNK DAW FILIPINO FOOD #filipinofood,158
2v29gYhPgkI,"""Cooked Fruit? NO!"" / I DON'T BELIEVE IN FRYING BANANA / REACTION OF SOUTH AFRICAN TO OUR BANANA-Q",159
2w5fiRkBUIw,"Foreigners First Impression of Tagbilaran City, Bohol. Philippines. Groceries Shopping",160
2w7MEv0-yMs,Foreigners Arriving in Manila Philippines on 1st Class Ship,161
2xCg-XC_H2g,FIRST TIME EXPLORING AN ISLAND IN THE PHILIPPINES | Province Girls | LDR | AGE GAP COUPLE,162
2xzBWVrG27M,"Foreigner/Expat living on less than $600 per month in Cebu city condo, Philippines.",163
30NXj6O44r8,Is the Philippines safe for foreigners?,164
30f7VYKKd2s,WE MOVED TO THE PHILIPPINES! 🇵🇭 (this is why),165
344HnNjBD2Y,Are Filipinos ACTUALLY friendly? (street experiment in the Philippines),166
34VMEMaI3vw,Hard questions foreigners have for Filipinos! Philippines 🇵🇭,167
35THbgakNBk,Foreigners PERFORM CONCERT In Philippines Shopping Mall!,168
37rYKJfsYmo,Japanese React to Mona  Gonzales Anime Songs(Philippines),169
39s28fwxQfM,When FOREIGN artists have a concert BUT the crowd is FILIPINO.,170
3CQwCDZbUrk,DAY 2 RUBBLE HOUSE REPAIR PROJECT EXPAT SIMPLE LIFE PHILIPPINES  FOREIGNER LIFESTYLE,171
3DUQ5TCoQyk,Warning: American Tries Potent Filipino Alcohol for the First Time!,172
3DVDdquBk5c,Countries from Europe react to the Philippines/Martial law (2/2),173
3GfHcEvWfIo,Girls in the Philippines rate themselves (Are Filipinas confident?) street interviews,174
3KvTMgth1PE,"JAPANESE REACTION / Filipino Skateboarder Margie Didal ""Do What You Love""",175
3Kw44btvK5E,Foreigner Filipina Family living Simply in Philippines.,176
3PVx1yM2YvQ,"HUNGARIANS FIRST IMPRESSION OF BGC, MANILA! Never Seen a Place like THIS!",177
3PpNx0dV-LY,Foreigner reacts to EXTRA STRONG Filipino Alcohol,178
3QFkmOO9Tl8,"Filipino food in 🇵🇭 Manila, PH vs Denver, USA—clear winner?",179
3Qfr55KRGgE,Philippines VS Dominican Republic | 10 Reasons These Countries Are Similar | Sol&LunaTV Vlog,180
3UHLwAKF1Is,Foreigners React to REASON WHY Filipinos SMILE - THIS is powerful!,181
3UI99FyrUc4,Welcome to Philippines | Pakistani Food in Manila | Makati Nightlife Reaction,182
3WB_7DYb8zA,European Family cook Filipino dish CRISPY PATA for a first time |The Result is Finger-Lickin' Good!,183
3WQWPlvNZIo,"🇵🇭 PHILIPPINES ║ ETRE ETRANGER / BEING FOREIGNER AUX PHILIPPINES , CEBU  , MINDANAO  (ENGLISH SUBS )",184
3Wh8qKGc5K0,#1 thing foreigners WISH they brought with them to the Philippines 🇵🇭 (street interviews),185
3Wn0qDg4uDQ,"Foreigner Tries JOLLIBEE For The First Time! 🇵🇭 (Manila, Philippines)",186
3ZgHEAM_-Fw,6 AMAZING MATURE FILIPINAS LOOKING TO MARRY A FOREIGNER💖,187
3bZp6Tauo5c,FILIPINA LOVE SCAM NIGHTMARE FOR FOREIGNER #shorts,188
3eWmsTsgWkQ,"Foreigners trying FILIPINO Street Food at Nightmarket 🇵🇭 Isaw, Pig Ear, Chicken Feet…🤤",189
3fPIsGv3eik,Americans Try Jollibee in the Philippines for the FIRST TIME! 🇵🇭,190
3kftPeWMvLk,Foreigners trying to get to 🇵🇭 Siargao for the first time —stuck in Manila?,191
