num_topics,alpha,eta,coherence_c_v,coherence_u_mass,coherence_npmi,topic_diversity,jaccard_similarity
20,auto,symmetric,0.3447044294451403,-2.653486557168999,-0.34362266176956113,0.565,0.04308972896637879
20,auto,0.01,0.34262809344170736,-2.662507392653733,-0.34623892443159393,0.56,0.04598609526913259
20,auto,0.1,0.34416475102758726,-2.6082370176354575,-0.33850185129171806,0.6,0.03926094907030217
20,auto,0.5,0.34865280248623925,-12.93920099251171,-0.2883233636063175,0.995,0.00027700831024930745
20,auto,auto,0.3447044294451403,-2.653486557168999,-0.34362266176956113,0.565,0.04308972896637879
25,symmetric,symmetric,0.3647326488861844,-2.9757931481495143,-0.3411179812975656,0.556,0.03812750831326683
25,symmetric,0.01,0.3540249349524271,-2.990980548278493,-0.3446063673981601,0.564,0.03661535374383671
25,symmetric,0.1,0.34445655348891213,-4.92840794013384,-0.36257814304112457,0.7,0.022465026946451094
25,symmetric,0.5,0.33810466996714406,-12.910884448140756,-0.28063744572015964,0.976,0.0010526315789473684
25,symmetric,auto,0.3647326488861844,-2.9757931481495143,-0.3411179812975656,0.556,0.03812750831326683
25,asymmetric,symmetric,0.36299690420893227,-3.634004712643764,-0.3469766791275008,0.612,0.030381836945304438
25,asymmetric,0.01,0.3673052922080698,-2.901889470675917,-0.34380749723429693,0.6,0.03031791079004701
25,asymmetric,0.1,0.4206656450819646,-5.809795903421505,-0.3594092343600214,0.74,0.019934353858502465
25,asymmetric,0.5,0.3090409273265866,-12.825115148019991,-0.2770564787319563,1.0,0.0
25,asymmetric,auto,0.36299690420893227,-3.634004712643764,-0.3469766791275008,0.612,0.030381836945304438
25,0.01,symmetric,0.373714798652747,-2.991271101183136,-0.3396637873158377,0.568,0.03412739364751748
25,0.01,0.01,0.35442855607370044,-3.062251544511475,-0.3457522852791231,0.56,0.03760119252379314
25,0.01,0.1,0.3373684653576231,-4.326542634896703,-0.3604261893493393,0.688,0.02491285403050109
25,0.01,0.5,0.33676153657100305,-12.920960084000976,-0.28043161773647773,0.98,0.0008771929824561403
25,0.01,auto,0.373714798652747,-2.991271101183136,-0.3396637873158377,0.568,0.03412739364751748
25,0.1,symmetric,0.365547667779354,-2.948744452652901,-0.3433292009663073,0.596,0.03058794862974429
25,0.1,0.01,0.36342553705135544,-2.9060067787503217,-0.3435349505135049,0.576,0.0327307648205481
25,0.1,0.1,0.3646636855650163,-5.409516300512333,-0.36296463668915485,0.736,0.019217979589496618
25,0.1,0.5,0.34962908943712806,-12.780030249659546,-0.2796732212046678,0.98,0.0008771929824561403
25,0.1,auto,0.365547667779354,-2.948744452652901,-0.3433292009663073,0.596,0.03058794862974429
25,0.5,symmetric,0.36667478734078124,-3.876506569012707,-0.3525120768863042,0.72,0.01715743607384474
25,0.5,0.01,0.36624957007257886,-3.456411078267698,-0.3527994551568886,0.756,0.014740282077743378
25,0.5,0.1,0.40053331822413346,-5.776181670972844,-0.3571057820894184,0.824,0.011312922829950693
25,0.5,0.5,0.3376802148234566,-11.943814557303348,-0.2948756559860679,0.964,0.0019917440660474715
25,0.5,auto,0.36667478734078124,-3.876506569012707,-0.3525120768863042,0.72,0.01715743607384474
25,auto,symmetric,0.36325951847416804,-2.976477623945746,-0.34066384554104645,0.56,0.03718208920995299
25,auto,0.01,0.3520741240197727,-2.9325702579339223,-0.344636698913384,0.564,0.03661535374383671
25,auto,0.1,0.3447300305336168,-4.920401456899597,-0.36264290687196926,0.7,0.022465026946451094
25,auto,0.5,0.33913537631765883,-12.921154888555945,-0.28140602887695954,0.972,0.0012280701754385963
25,auto,auto,0.36325951847416804,-2.976477623945746,-0.34066384554104645,0.56,0.03718208920995299
30,symmetric,symmetric,0.35114480144178695,-3.0699300177810867,-0.3561444513724557,0.5666666666666667,0.031226646738550228
30,symmetric,0.01,0.33438179193188744,-3.067558276298899,-0.3574772266783253,0.5866666666666667,0.028329161872452144
30,symmetric,0.1,0.3804974155531005,-7.828768222908232,-0.3793283777048991,0.8233333333333334,0.010595906037349404
30,symmetric,0.5,0.3310336064831521,-12.388139820553436,-0.25985667325157574,0.9966666666666667,0.00012099213551119177
30,symmetric,auto,0.35114480144178695,-3.0699300177810867,-0.3561444513724557,0.5666666666666667,0.031226646738550228
30,asymmetric,symmetric,0.3451891848341276,-3.2443328258768735,-0.35439723531606865,0.6066666666666667,0.02709096947914072
30,asymmetric,0.01,0.3563630840022197,-3.627934911264882,-0.3544908787349138,0.59,0.02753361881150928
30,asymmetric,0.1,0.3744515745813092,-8.018517742555101,-0.37098408483232426,0.8466666666666667,0.007567741756916519
30,asymmetric,0.5,0.33909202875470545,-11.921192522700613,-0.27304844857708793,1.0,0.0
30,asymmetric,auto,0.3451891848341276,-3.2443328258768735,-0.35439723531606865,0.6066666666666667,0.02709096947914072
30,0.01,symmetric,0.3596401605727583,-3.2955202538439563,-0.3520543227571607,0.56,0.03165308470635683
